 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Q:CA,0.05500710003500486,0.10049995475618634,0.09364281043736579,0.06494433891500433,0.06931036757711918,0.06404960174391323,0.05387362560705719,0.05193442966416388,0.04805992872319215,0.043599951242755806,0.04233530410974896,0.03268511762476718,0.018994879761094343,0.04086961710784409,0.039880452470458266,0.03851041014179089,0.032413433432417836,0.033516364458243846,0.032174073418520785,0.0226084815293723,0.021089757243978734
Q:CG,0.03969753983701232,0.10047140944932081,0.08426074971102197,0.06655576745934548,0.06462648731521481,0.06429540607646785,0.05245512169444185,0.054843525983102694,0.049879724053275835,0.04393313735743292,0.05089190480818147,0.031374513257690036,0.02713883650279803,0.03893768125628156,0.03962198976853194,0.03733413402407833,0.03269083553106647,0.035487891605975375,0.03212815193241585,0.026655862782376305,0.0267193295939681
Q:GC,0.04955709691722409,0.10239332349831493,0.08821892693917924,0.06625181729056756,0.06772474668433634,0.06495861824442098,0.05361972056152672,0.052853151267530096,0.04962857349477558,0.04332937898234826,0.04738218026398525,0.03140930910077129,0.02217279370066193,0.03958951439740669,0.03904510994666372,0.03736031030128124,0.03208872381526935,0.033812850689632336,0.031807927022565435,0.024357797164792017,0.022438129716746955
Q:TA,0.06453086486195576,0.09575317336449676,0.10148450875318105,0.06353764752012424,0.07095098987444932,0.06335097449775885,0.054395466951648,0.05114249117762384,0.04540202203479745,0.04394119338494776,0.0356997116870536,0.03507993265009572,0.01398888265278664,0.04194664595939016,0.04161145255906571,0.04034767927299007,0.03282844072670239,0.03199648796389553,0.03256990320373346,0.019849579063098248,0.019591951840205433
T:AA,0.04858226917248745,0.10662368104865472,0.08415032288438995,0.06852909091110049,0.07626194393468946,0.06269748783823487,0.05144128742267761,0.04993701389321275,0.05164683708550248,0.04326744159247741,0.04751666533420134,0.03261956993259035,0.02014952635258228,0.03923510677304611,0.03641385194111953,0.03680113677508923,0.03515482571660538,0.035302051877889845,0.03076483346045994,0.021086632228885367,0.02181842382410344
T:AG,0.040200303936548075,0.10984671067513413,0.07664506715889775,0.06912362727546895,0.07352231548274732,0.0640555982169039,0.050696239318001345,0.05152223441107851,0.053617108626360724,0.04286118740652174,0.054735872360562265,0.030936076127435305,0.025292084085106532,0.03843272654583025,0.03524772295799786,0.03578446546672587,0.03457982394294275,0.03483438392393074,0.030128546656271113,0.024188914948041092,0.02374899047749379
T:CC,0.03583479342697046,0.11191736321215989,0.07179803176933462,0.06963881227236952,0.07100765765927004,0.06520252784875862,0.050115723794917535,0.05300712448776248,0.054348949874198006,0.04262468496503959,0.059525790825022615,0.029603494785973967,0.029248151371498735,0.03746537660615658,0.034631143631337236,0.03483275975056248,0.03403856287515881,0.03417993568788108,0.02954076668200059,0.02609324051334734,0.0253451079602798
T:GA,0.04152199368448855,0.1094825007387605,0.07817476351704274,0.06850035941133865,0.07431333178783678,0.06346497699115473,0.05039553441456434,0.051217321124820275,0.05299236283124254,0.0430834960830153,0.052910322132930794,0.03138431965882229,0.024584675598100344,0.03878403889193052,0.03531840690943092,0.036098513730635114,0.03510517083826914,0.03509002416341913,0.030174602195100392,0.023694433195203948,0.023708852101893
U:AA,0.047704515766832795,0.10504348899810147,0.08466031836174852,0.06861520032158222,0.07740676004988861,0.06222165274178798,0.051133717606044994,0.04974277525632285,0.051272606044072515,0.04355353014340311,0.04823888958338552,0.033006816472550944,0.019779769094603078,0.03971709535007316,0.03596446156261253,0.03732666583898729,0.03563421871548039,0.03541315849739566,0.030544872523186304,0.02132570839320177,0.02169377867873829
U:AG,0.03955337708152567,0.10912055460046101,0.07668690328168008,0.06906407828518533,0.07380554439488285,0.06410441351656505,0.05087599756997268,0.05136518019634258,0.05368929327727553,0.04299347519929064,0.05528063684615685,0.031009611009942206,0.025150719302914626,0.038587897576360046,0.035270114939414586,0.03601280978113617,0.03455550441932903,0.03492891355980169,0.030149318853435962,0.02433923439337396,0.02345642191495346
