 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Q:CA,0.05298941041657668,0.07937018226388981,0.08225804452682978,0.06730497488681099,0.06353753837506558,0.061644139058612296,0.05761066255648656,0.0545457603219916,0.049608372132004426,0.04198576420141533,0.04628190863911243,0.04649824983852504,0.045523262518550704,0.03298997799062664,0.031023523792498682,0.029417198426822454,0.02911236798266497,0.02921189798751016,0.02737392002348161,0.0209371758025575,0.022754375193229558,0.013829593673709254,0.014191699391027946
Q:CG,0.04533637324095246,0.08140951254630263,0.07515463001630686,0.057352778267535084,0.0515306225974662,0.053693605664598534,0.05179659966146878,0.05562296764046262,0.0458673333825071,0.04304057301879306,0.047607769381981725,0.0456930087243219,0.04510532280429764,0.028875957620256593,0.030706675009754776,0.031054398890464338,0.03944724344935509,0.04278693509693493,0.02591267835887216,0.03789556204929569,0.026511229579062504,0.015845480761769278,0.021752742237240025
Q:GC,0.049112651095743275,0.08201603708858975,0.0805185509036773,0.06426354560398269,0.05782057242878109,0.05841418446672133,0.05505998420985027,0.054434278043015136,0.048117870530780385,0.04264302443364837,0.0472104474360538,0.04724578331449198,0.045361219299449515,0.03038934050663792,0.03109997889467448,0.030679214355450013,0.03293629662224977,0.034356158669719215,0.026093852594349928,0.026389288347615343,0.024781865623951863,0.013789529467491223,0.017266326063075377
Q:TA,0.05615743911416576,0.07674365482383387,0.08531839434613521,0.07194535367616452,0.073537975008719,0.06600966396685377,0.06196931955637422,0.054827152540188,0.05131640766111772,0.04112963256830479,0.044059658677238475,0.04489837801160071,0.04602612272717379,0.03738455119343676,0.03128693556134967,0.027376627526888034,0.02323422918494199,0.022741291032271377,0.02831898261547264,0.013838992926426092,0.0186041074326772,0.013515151626358449,0.009759978222307937
T:AA,0.03970979995453605,0.08478394438973559,0.08392561851577306,0.07917777255326283,0.06112444753814401,0.05736420124065805,0.05945344491114616,0.06108378859269111,0.04842755804633312,0.039124592033539504,0.05060394147911375,0.047566595853252056,0.05215056633626997,0.027755991529506672,0.03152812480158952,0.03322428230684325,0.02629244210933525,0.030567162944325304,0.024505017746978455,0.019029280937369625,0.02005393030143453,0.010387003172715905,0.012160492705446231
T:AG,0.03744494433640974,0.08802217585230829,0.07934958244231431,0.07519534184314068,0.05414262558484278,0.05413608512452404,0.055229732130434056,0.058976698037669334,0.04584254215523231,0.04013211638687607,0.04998439690010895,0.05050641451087948,0.051323618820286236,0.02478987147505509,0.03112373756724297,0.0338945796527624,0.03206543851330916,0.037216119381495334,0.023227316763506308,0.02715182084535176,0.02304654254232729,0.010905602276864134,0.016292696857059277
T:CC,0.03507145836320748,0.08959554868140562,0.07571067851050305,0.07069286536859457,0.04845854121109975,0.05097844264192396,0.05146831249069256,0.05736602289522026,0.04352855474542706,0.04113597922689786,0.04996114268161121,0.05186700652755356,0.05043298889235652,0.022792704395620117,0.030787987284918286,0.034355184005186105,0.03729394773285989,0.04335974655621452,0.02199870952514456,0.03598079276567893,0.025531783253457917,0.011541077457487791,0.02009052478693842
T:GA,0.038286599024485626,0.0870492882357693,0.07978173246801673,0.07571864200051799,0.05521907916362373,0.05464449766906627,0.05588186600087663,0.059537715771531774,0.046471378010229956,0.039855237468292386,0.05003643299895864,0.049972203945439504,0.051460693079714064,0.025277215225530017,0.03085516874539724,0.033528031762034206,0.03132939234383106,0.036003727477221976,0.023502024475653627,0.02644351783622183,0.022639549401403853,0.010984209407758804,0.015521797488424796
U:AA,0.03934303180617793,0.08469109335969807,0.0839507387453721,0.07984662228309983,0.062205368782927616,0.057666714704728346,0.06024861277550347,0.061206437880731074,0.04890730576181232,0.038522576233312976,0.04936683330086238,0.04815621973905811,0.052502205637443365,0.027950328475372953,0.030836702118493528,0.032717081266282554,0.026077331861179213,0.03038000752117889,0.024651649242527194,0.018805339277182795,0.01998571915947294,0.010330162567986263,0.011651917499596095
U:AG,0.03698672899401785,0.08815182603149178,0.07959409357972436,0.0753888333004882,0.05432026833313745,0.05431299918528463,0.05560097802190621,0.05888453598181007,0.04586975581219919,0.0399792298079236,0.04977303192510718,0.05053008338586283,0.0512910257046038,0.025062146263199605,0.03096414680374928,0.034009372238138824,0.031911524126074564,0.037218666067334746,0.02330175436107225,0.026852593295872293,0.023049908676087926,0.010786483471559558,0.016160014633353793
