 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Y,MT,M
Q:CA,0.03619930526967102,0.06196411969957059,0.08555355799725352,0.0445543426892902,0.06142346441338967,0.06274334531304318,0.050943029588056854,0.08311592370382971,0.048213071805763924,0.05823276524614718,0.046527331009756395,0.07751466205335256,0.03387282158154296,0.03423672918389295,0.036218047292109645,0.04005105118667588,0.03037326950286395,0.04866925783803743,0.026418312309513046,0.032378015139128934,0.00079757717711042,0,0
Q:CG,0.025672441865045498,0.057111602043094054,0.08068153468401633,0.04279369477015192,0.06465503092214972,0.06874844076208984,0.04634711590225712,0.07968198111844955,0.056083325673919035,0.056190831024567026,0.050890242781549126,0.08294817421447236,0.03516738008639819,0.03267177877860791,0.03388962565159732,0.04410919917540934,0.028548004831996217,0.050822949355952676,0.028069564989036094,0.03459538596882837,0.0003216954004122953,0,0
Q:GC,0.030931907275159567,0.05859428556215932,0.08423338280610446,0.04205229915275106,0.06390806051207645,0.06472968565933006,0.04851115799562066,0.08465600894503197,0.0517151300157736,0.05722258088132525,0.04720501028279346,0.08284603763036519,0.03365268783568828,0.032011101423617815,0.03516781918256784,0.04266360956000293,0.029420103693153458,0.05028618777911628,0.025944918835814738,0.033737213063473784,0.0005108119080738232,0,0
Q:TA,0.046668219161988204,0.06764421422757064,0.08726387385346122,0.050333366900799745,0.057735517736210065,0.06024363686714836,0.0522283552780645,0.07305329674479495,0.04311583713065297,0.059485221922912314,0.04733537255691783,0.06846242122135227,0.03607925698413098,0.03851814321559544,0.03810694175205391,0.036419127581547965,0.03226305564646744,0.04336444617876354,0.028605775282596106,0.03156600622676502,0.001507913530206524,0,0
T:AA,0.04395542883243782,0.06784481208933425,0.0872103549022079,0.05030953265910209,0.05835795755145177,0.061381634544829936,0.05179530221736313,0.07230499954259409,0.04282918671949119,0.06029377614490619,0.04798923720686838,0.06901295642233088,0.03545631517634437,0.03882000789425031,0.03725331267436601,0.03694560324163251,0.03229317735898304,0.04341293902171431,0.028935242198030533,0.03228997871623113,0.0013082448855301718,0,0
T:AG,0.034475852277766,0.06163179024649933,0.08620286471528982,0.043976242067432385,0.0626883289852071,0.06250141549450079,0.04980739724464957,0.08511876646919325,0.04686507874788153,0.05894050884673831,0.04658293488015844,0.08066585952782651,0.032008048467623174,0.03298545594749177,0.03529745303764438,0.04072203726427412,0.03014027789260906,0.04895414398123552,0.0260677467264899,0.03368890555193098,0.0006788916275580884,0,0
T:CC,0.031468520598063245,0.05905426865589974,0.08377325031182807,0.04254634517596057,0.06443400250457328,0.06430964434810832,0.04815023460166217,0.08614724751874388,0.049693830218783305,0.057838667676454895,0.0467151414760567,0.08489029745227444,0.031266127698416545,0.031308098576223464,0.034510942895978135,0.04313766820995139,0.028588696589726275,0.051967408214353666,0.02547818820114683,0.0341857463168223,0.0005356727589727519,0,0
T:GA,0.03539711050110949,0.06276861203175485,0.08578638882553973,0.045291122256865435,0.06186204382356711,0.06285017986539643,0.05059070093403493,0.08361435394114132,0.04622232728011227,0.05916997238346204,0.04693279975762701,0.0784685888931245,0.032238604224547926,0.03431941630724106,0.035541602092131704,0.03988067791193004,0.030520685769076468,0.048123690128793944,0.026653371664666314,0.033048955682031936,0.0007187957258455172,0,0
U:AA,0.04539370841287942,0.06788048399706023,0.08727529030490504,0.051203988014813885,0.058673821828573836,0.06268003453585504,0.05028305418188594,0.07005453012136055,0.04327117838384643,0.058094767536965304,0.04837227537560753,0.07027932762798153,0.03594150849162546,0.03929139276439716,0.037445845377450736,0.037326421702058334,0.03226914684328436,0.042566344534961865,0.02954648775639711,0.030918020162864455,0.0012323720452257793,0,0
U:AG,0.03621328317135805,0.06311780205798395,0.08518378346186242,0.045484173481466314,0.0626122668314825,0.06406602366903855,0.048976812619608345,0.07888023672880834,0.04710808875573839,0.058160428118626775,0.0468097625933024,0.08002743393118408,0.03369109602068029,0.03455615955701721,0.03574726861402935,0.04088001552284062,0.030667215930781744,0.0473196890052675,0.027288198716511378,0.03242286676896299,0.0007873944434488041,0,0
